"Any","Id_aforament","Mes","Codi_tipus_dia","Desc_tipus_dia","Valor_IMD"
2019,"1001",11,2,"Laborable",34328
2019,"1001",11,3,"Divendres",36983
2019,"1001",11,4,"Dissabte",26824
2019,"1001",11,5,"Diumenge",22604
2019,"1001",12,1,"Dilluns",33123
2019,"1001",12,2,"Laborable",32462
2019,"1001",12,3,"Divendres",34653
2019,"1001",12,4,"Dissabte",26302
2019,"1001",12,5,"Diumenge",22921
2019,"10010",1,1,"Dilluns",10022
2019,"10010",1,2,"Laborable",10465
2019,"10010",1,3,"Divendres",10926
2019,"10010",1,4,"Dissabte",7461
2019,"10010",1,5,"Diumenge",4945
2019,"10010",2,1,"Dilluns",10503
2019,"10010",2,2,"Laborable",10706
2019,"10010",2,3,"Divendres",11132
2019,"10010",2,4,"Dissabte",7857
2019,"10010",2,5,"Diumenge",4668
2019,"10010",3,1,"Dilluns",10390
2019,"10010",3,2,"Laborable",11055
2019,"10010",3,3,"Divendres",11542
2019,"10010",3,4,"Dissabte",8188
2019,"10010",3,5,"Diumenge",5098
2019,"10010",4,1,"Dilluns",10763
2019,"10010",4,2,"Laborable",10499
2019,"10010",4,3,"Divendres",11343
2019,"10010",4,4,"Dissabte",7379
2019,"10010",4,5,"Diumenge",4989
2019,"10010",5,1,"Dilluns",10778
2019,"10010",5,2,"Laborable",10772
2019,"10010",5,3,"Divendres",11594
2019,"10010",5,4,"Dissabte",7754
2019,"10010",5,5,"Diumenge",5733
2019,"10010",6,1,"Dilluns",10779
2019,"10010",6,2,"Laborable",10923
2019,"10010",6,3,"Divendres",11488
2019,"10010",6,4,"Dissabte",7641
2019,"10010",6,5,"Diumenge",5370
2019,"10010",7,1,"Dilluns",10464
2019,"10010",7,2,"Laborable",10573
2019,"10010",7,3,"Divendres",10575
2019,"10010",7,4,"Dissabte",7055
2019,"10010",7,5,"Diumenge",5371
2019,"10010",8,1,"Dilluns",7604
2019,"10010",8,2,"Laborable",8031
2019,"10010",8,3,"Divendres",8388
2019,"10010",8,4,"Dissabte",6105
2019,"10010",8,5,"Diumenge",4582
2019,"10010",9,1,"Dilluns",10664
2019,"10010",9,2,"Laborable",10887
