"Any","Id_aforament","Mes","Codi_tipus_dia","Desc_tipus_dia","Valor_IMD"
2018,"10011",9,1,"Dilluns",3328
2018,"10011",9,2,"Laborable",3482
2018,"10011",9,3,"Divendres",3856
2018,"10011",9,4,"Dissabte",2267
2018,"10011",9,5,"Diumenge",1571
2018,"10011",10,1,"Dilluns",3552
2018,"10011",10,2,"Laborable",3624
2018,"10011",10,3,"Divendres",3932
2018,"10011",10,4,"Dissabte",2499
2018,"10011",10,5,"Diumenge",1683
2018,"10011",11,1,"Dilluns",3458
2018,"10011",11,2,"Laborable",3516
2018,"10011",11,3,"Divendres",3835
2018,"10011",11,4,"Dissabte",2545
2018,"10011",11,5,"Diumenge",1681
2018,"10011",12,1,"Dilluns",3432
2018,"10011",12,2,"Laborable",3654
2018,"10011",12,3,"Divendres",3414
2018,"10011",12,4,"Dissabte",2669
2018,"10011",12,5,"Diumenge",1871
2018,"10012",1,1,"Dilluns",6516
2018,"10012",1,2,"Laborable",6324
2018,"10012",1,3,"Divendres",6430
2018,"10012",1,4,"Dissabte",4744
2018,"10012",1,5,"Diumenge",3642
2018,"10012",2,1,"Dilluns",6174
2018,"10012",2,2,"Laborable",6290
2018,"10012",2,3,"Divendres",6707
2018,"10012",2,4,"Dissabte",4792
2018,"10012",2,5,"Diumenge",3576
2018,"10012",3,1,"Dilluns",6089
2018,"10012",3,2,"Laborable",6303
2018,"10012",3,3,"Divendres",6767
2018,"10012",3,4,"Dissabte",4374
2018,"10012",3,5,"Diumenge",3559
2018,"10012",4,1,"Dilluns",6130
2018,"10012",4,2,"Laborable",6332
2018,"10012",4,3,"Divendres",6795
2018,"10012",4,4,"Dissabte",4818
2018,"10012",4,5,"Diumenge",3420
2018,"10012",5,1,"Dilluns",6377
2018,"10012",5,2,"Laborable",6794
2018,"10012",5,3,"Divendres",6915
2018,"10012",5,4,"Dissabte",7836
2018,"10012",5,5,"Diumenge",4342
2018,"10012",6,1,"Dilluns",6391
2018,"10012",6,2,"Laborable",6446
2018,"10012",6,3,"Divendres",6763
2018,"10012",6,4,"Dissabte",4704
2018,"10012",6,5,"Diumenge",3892
2018,"10012",7,1,"Dilluns",6232
2018,"10012",7,2,"Laborable",6447
2018,"10012",7,3,"Divendres",7229
2018,"10012",7,4,"Dissabte",4579
2018,"10012",7,5,"Diumenge",3870
2018,"10012",8,1,"Dilluns",4952
2018,"10012",8,2,"Laborable",5046
2018,"10012",8,3,"Divendres",5148
2018,"10012",8,4,"Dissabte",4595
2018,"10012",8,5,"Diumenge",3162
2018,"10012",9,1,"Dilluns",6054
2018,"10012",9,2,"Laborable",8081
2018,"10012",9,3,"Divendres",7220
2018,"10012",9,4,"Dissabte",4519
2018,"10012",9,5,"Diumenge",3552
2018,"10012",10,1,"Dilluns",6478
2018,"10012",10,2,"Laborable",6529
2018,"10012",10,3,"Divendres",7032
2018,"10012",10,4,"Dissabte",4787
2018,"10012",10,5,"Diumenge",3639
2018,"10012",11,1,"Dilluns",6543
2018,"10012",11,2,"Laborable",6583
2018,"10012",11,3,"Divendres",6729
2018,"10012",11,4,"Dissabte",4977
2018,"10012",11,5,"Diumenge",3584
2018,"10012",12,1,"Dilluns",6206
2018,"10012",12,2,"Laborable",6595
2018,"10012",12,3,"Divendres",6060
2018,"10012",12,4,"Dissabte",5049
2018,"10012",12,5,"Diumenge",3899
2018,"10013",1,1,"Dilluns",4710
2018,"10013",1,2,"Laborable",4637
2018,"10013",1,3,"Divendres",4970
2018,"10013",1,4,"Dissabte",3934
2018,"10013",1,5,"Diumenge",2620
2018,"10013",2,1,"Dilluns",4707
2018,"10013",2,2,"Laborable",4776
2018,"10013",2,3,"Divendres",5052
2018,"10013",2,4,"Dissabte",3856
2018,"10013",2,5,"Diumenge",2608
2018,"10013",3,1,"Dilluns",4825
2018,"10013",3,2,"Laborable",4618
2018,"10013",3,3,"Divendres",4845
2018,"10013",3,4,"Dissabte",3829
2018,"10013",3,5,"Diumenge",2613
2018,"10013",4,1,"Dilluns",4687
2018,"10013",4,2,"Laborable",4634
2018,"10013",4,3,"Divendres",5069
2018,"10013",4,4,"Dissabte",4243
2018,"10013",4,5,"Diumenge",2648
2018,"10013",5,1,"Dilluns",5463
2018,"10013",5,2,"Laborable",5282
2018,"10013",5,3,"Divendres",5457
2018,"10013",5,4,"Dissabte",4311
2018,"10013",5,5,"Diumenge",2977
